#
#
#
#
#
#              JD            X            Y            Z         VX         VY         VZ
2458849.500000000 -438.0334519552279 -1579.776271204887 577.128779308546 0.004198117469011493 -0.001124487553272702 0.0001082550983058686
2458850.194000000 -182.0075951579164 -1626.863004314499 583.8099009931543 0.004323404639626231 -0.0004427363393066998 0.000114114389214562
2458850.888000000 78.24423960195585 -1632.6451231375 590.7552292315753 0.004338773500430359 0.0002502877970327924 0.0001170486767422613
2458851.582000000 336.1052935477205 -1596.974721066661 597.7867277911597 0.004243829854772852 0.0009369617221548611 0.0001169823660049853
2458852.276000000 585.0194359010613 -1520.75802871319 604.7241335703226 0.004040985871565931 0.001599822953511818 0.0001139169452331366
2458852.970000000 818.657958629199 -1405.932401352446 611.3895890513827 0.003735398884289063 0.00222201430905575 0.0001079309973118106
2458853.664000000 1031.080589864524 -1255.417049871322 617.6122149836515 0.003334840167983329 0.002787713161772647 9.917819700753757e-05
2458854.358000000 1216.886619067321 -1073.038770423345 623.2325035677004 0.002849497048026606 0.003282534312436646 8.788333946080839e-05
2458855.052000000 1371.352280109139 -863.4345677213554 628.1064170212743 0.002291713410345902 0.003693896176306553 7.433650779067229e-05
2458855.746000000 1490.550890640431 -631.9336575421626 632.1090846336613 0.001675675263928259 0.00401134092923661 5.888554506416487e-05
2458856.440000000 1571.452688002759 -384.4218603993327 635.1380028120018 0.001017049412568778 0.004226800448584757 4.192704365185707e-05
2458857.134000000 1612.001822044954 -127.19184692332 637.115656533398 0.0003325844882970175 0.004334801282242969 2.389610090295985e-05
2458857.828000000 1611.168549892277 133.2169450305346 637.9914963341979 -0.0003603154455659168 0.004332603448136267 5.255114787608905e-06
2458858.522000000 1568.975311912707 390.1846403124002 637.7432218947594 -0.001044033822320894 0.004220269566341054 -1.351809073752244e-05
2458859.216000000 1486.496035395856 637.1792656942027 636.3773409870912 -0.001701189721218716 0.004000662612795093 -3.194251044780368e-05
2458859.910000000 1365.828695620639 867.9228127462045 633.9289907662705 -0.002315079810604955 0.003679372411295746 -4.954626596013838e-05
2458860.604000000 1210.041845362679 1076.55080050428 630.4610268723009 -0.0028701028340239 0.00326457280118059 -6.587866812097836e-05
2458861.298000000 1023.096485979036 1257.761283522209 626.0624042776527 -0.003352155854222248 0.002766813183938046 -8.052172793447904e-05
2458861.992000000 809.745278982559 1406.949523521191 620.8458918515548 -0.003748992211328744 0.002198749816545552 -9.310082167549602e-05
2458862.686000000 575.4116706464364 1520.324911084717 614.9451796860639 -0.004050532146317336 0.001574823739846045 -0.0001032942366804372
2458863.380000000 326.0520092185101 1595.00717801547 608.5114537654166 -0.004249118261291408 0.0009108935685948133 -0.000110841354584806
2458864.074000000 68.00416225356341 1629.099469091494 601.7095260356161 -0.004339709400512965 0.0002238324937973352 -0.0001155492668745787
2458864.768000000 -192.1735200121858 1621.736430385883 594.7136189506527 -0.004320008103096259 -0.0004689002682242433 -0.0001172976609805788
2458865.462000000 -447.8688085012787 1573.106105040124 587.7029119011873 -0.004190518459778084 -0.00114970272133466 -0.0001160418610995282
2458866.156000000 -692.5835420187493 1484.445090416388 580.8569624816822 -0.003954532960228699 -0.001801276819188532 -0.0001118139543724009
2458866.850000000 -920.0986611886096 1358.007086338211 574.3511183362757 -0.003618048701128736 -0.00240706739551994 -0.0001047219787579162
2458867.544000000 -1124.632149403305 1197.0056359032 568.3520354010166 -0.003189615095741771 -0.002951682217907857 -9.494719346656477e-05
2458868.238000000 -1300.985880738269 1005.532511531134 563.0134158024664 -0.002680116940694605 -0.003421282566917903 -8.273949624111338e-05
2458868.932000000 -1444.677655083371 788.4538134737792 558.4720735376741 -0.002102498314434994 -0.003803934482574647 -6.841109436732037e-05
2458869.626000000 -1552.055074268271 551.2864107913797 554.8444283894996 -0.00147143426580208 -0.00408991180345856 -5.232857828748943e-05
2458870.320000000 -1620.388370509225 300.057851896925 552.223518363228 -0.0008029585647504313 -0.004271943327210812 -3.49035879370508e-05
2458871.014000000 -1647.939828906481 41.15329079145476 550.6766083289835 -0.0001140568983680193 -0.004345397816853981 -1.658230163137332e-05
2458871.708000000 -1634.008035967817 -218.8466945061017 550.243457658835 0.0005777642240580961 -0.004308402132287833 2.165986228127095e-06
2458872.402000000 -1578.945821682078 -473.3332815450333 550.9352927291177 0.001254921966011717 -0.004161889443482992 2.08609018363835e-05
2458873.096000000 -1484.151427777138 -715.8373411888733 552.7345116660697 0.001900203811300298 -0.00390957624057601 3.9023324805173e-05
2458873.790000000 -1352.03311288858 -940.1938704206701 555.595129276902 0.002497205041450073 -0.003557868652935296 5.61876892294093e-05
2458874.484000000 -1185.948079440629 -1140.698741620894 559.4439504861895 0.003030745929705658 -0.003115700379622737 7.191392858670845e-05
2458875.178000000 -990.117260066074 -1312.253780315623 564.1824415617783 0.003487258029278601 -0.002594306272636718 8.579875579729248e-05
2458875.872000000 -769.518116823811 -1450.496475559007 569.6892506189971 0.003855129695069187 -0.002006937258242216 9.748599478129241e-05
2458876.566000000 -529.758168493211 -1551.911014002533 575.8233127725471 0.004125001993671508 -0.001368523788605868 0.0001066757100204537
2458877.260000000 -276.932455334133 -1613.917800816876 582.4274610533315 0.004290007402594005 -0.0006952963468160222 0.0001131319122787879
2458877.954000000 -17.46856387318043 -1634.939176383951 589.3324518480017 0.004345945147177792 -4.3726471749565e-06 0.0001166886500248408
2458878.648000000 242.0368445207656 -1614.439643344117 596.3613031488129 0.004291388637293193 0.0006866779522176162 0.0001172543280701685
2458879.342000000 494.9858369993555 -1552.939568750475 603.3338354336986 0.004127722204592698 0.001360281702185605 0.0001148141303567677
2458880.036000000 734.9470666724181 -1452.002003965556 610.0712988410592 0.003859106159041914 0.001999307941822102 0.000109430465965945
2458880.730000000 955.8194027778278 -1314.192952821658 616.4009669260164 0.003492371031252731 0.00258750534910706 0.0001012414080488618
